country,happiness_score,gdp_per_capita,family,health,freedom,government_trust,generosity,dystopia_residual,continent,year,rank
Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,South America,2019,14
Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,South America,2019,16
Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,South America,2019,23
Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,South America,2019,24
Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,South America,2019,25
Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,South America,2019,28
Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,South America,2019,30
Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,South America,2019,36
Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,South America,2019,39
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,South America,2019,41
Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,South America,2019,43
Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,South America,2019,46
Bolivia,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,South America,2019,53
Peru,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,South America,2019,57
Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,South America,2019,63
Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,South America,2019,66
Dominican Republic,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,South America,2019,79
Honduras,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,South America,2019,91
Haiti,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,South America,2019,121
Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,South America,2019,133
Costa Rica,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,South America,2020,15
Uruguay,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,South America,2020,25
Guatemala,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,South America,2020,28
Brazil,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,South America,2020,31
El Salvador,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,South America,2020,33
Panama,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,South America,2020,35
Chile,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,South America,2020,38
Colombia,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,South America,2020,42
Nicaragua,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,South America,2020,44
Argentina,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,South America,2020,53
Honduras,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,South America,2020,54
Ecuador,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834,South America,2020,56
Jamaica,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,South America,2020,58
Peru,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,South America,2020,61
Bolivia,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,South America,2020,63
Paraguay,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,South America,2020,65
Dominican Republic,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,South America,2020,66
Venezuela,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086,South America,2020,93
Guinea,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809,South America,2020,96
Haiti,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,South America,2020,130
